,language,speakers,percentage
0,'Are'are,18000,0.00023394108105677798
1,'Auhelawa,1200,1.5596072070451865e-05
2,Aari,298300,0.003876923582179826
3,Abaga,5,6.498363362688277e-08
4,Abau,7270,9.448620329348756e-05
5,Abinomn,300,3.899018017612966e-06
6,Abkhaz,190110,0.0024708077177613367
7,Abon,1000,1.2996726725376554e-05
8,Abure,93000,0.0012086955854600195
9,Adang,3000,3.899018017612966e-05
10,Adja,1133000,0.014725291379851636
11,Adonara,98000,0.0012736792190869023
12,Adyghe,575900,0.007484814921144357
13,Afrikaans,7200000,0.09357643242271119
14,Afro-Seminole Creole,200,2.599345345075311e-06
15,Agariya,72000,0.0009357643242271119
16,Aghu,3000,3.899018017612966e-05
17,Aghul,29300,0.0003808040930535331
18,Aguaruna,56584,0.0007354067850287069
19,Aikanã,200,2.599345345075311e-06
20,Ainu,10,1.2996726725376554e-07
21,Airoran,1000,1.2996726725376554e-05
22,Ajië,5400,7.018232431703339e-05
23,Akan,11000000,0.1429639939791421
24,Akha,600000,0.007798036035225933
25,Akhvakh,210,2.7293126123290764e-06
26,Akurio,0,0.0
27,Alaba-K’abeena,287000,0.0037300605701830712
28,Alamblak,1500,1.949509008806483e-05
29,Alangan,2150,2.794296245955959e-05
30,Alawa,12,1.5596072070451864e-07
31,Albanian Sign Language,3000,3.899018017612966e-05
32,Alekano,25000,0.00032491816813441383
33,Aleut,200,2.599345345075311e-06
34,Algerian Arabic,29400000,0.3821037657260707
35,Alorese,25000,0.00032491816813441383
36,Alyutor,11,1.429639939791421e-07
37,Amahuaca,310,4.028985284866732e-06
38,Amanab,4400,5.718559759165684e-05
39,Amba,40100,0.0005211687416875998
40,Ambrak,290,3.7690507503592007e-06
41,American Sign Language,250000,0.0032491816813441385
42,Amharic,21900000,0.2846283152857465
43,Ami,30,3.8990180176129663e-07
44,Amonap,1000,1.2996726725376554e-05
45,Amung,14000,0.00018195417415527176
46,Andaman Creole Hindi,20000,0.0002599345345075311
47,Andoque,370,4.808788888389325e-06
48,Angguruk Yali,15000,0.00019495090088064831
49,Annobonese Creole,5600,7.27816696621087e-05
50,Anus,70,9.097708707763588e-07
51,Anêm,800,1.0397381380301243e-05
52,Ao,261000,0.003392145675323281
53,Apalaí,650,8.44787237149476e-06
54,Aragonese,8500,0.00011047217716570071
55,Aralle-Tabulahan,12000,0.00015596072070451865
56,Arawak,2500,3.2491816813441386e-05
57,Arbore,7210,9.370639968996495e-05
58,Archi,970,1.2606824923615256e-05
59,Are,1200,1.5596072070451865e-05
60,Ari,50,6.498363362688277e-07
61,Armenian,6700000,0.08707806906002291
62,Aromanian,112960,0.0014681102508985356
63,Arutani,5,6.498363362688277e-08
64,Asháninka,73567,0.0009561301950057771
65,Ashéninka,9881,0.00012842065677344573
66,Assamese,15300000,0.19884991889826129
67,Asturian,560000,0.007278166966210871
68,Atikamekw,6160,8.005983662831957e-05
69,Atsugewi,200,2.599345345075311e-06
70,Avar,766500,0.009961991035001129
71,Awa Pit,12055,0.00015667554067441437
72,Awadhi,22000000,0.2859279879582842
73,Awetï,170,2.2094435433140142e-06
74,Awjila,3000,3.899018017612966e-05
75,Axininca,4000,5.198690690150622e-05
76,Ayacucho Quechua,918200,0.011933594479240752
77,Aymara,4000000,0.051986906901506216
78,Ayoreo,2189,2.8449834801849275e-05
79,Azerbaijani,23000000,0.2989247146836608
80,Baba Malay,12000,0.00015596072070451865
81,Babalia Creole Arabic,3900,5.068723422896856e-05
82,Babatana,7070,9.188685794841223e-05
83,Babine-Witsuwit'en,175,2.274427176940897e-06
84,Bacanese Malay,6,7.798036035225932e-08
85,Badaga,134000,0.0017415613812004583
86,Badeshi,3,3.899018017612966e-08
87,Bagheli,8000000,0.10397381380301243
88,Bagirmi,44800,0.0005822533572968696
89,Bagvalal,1450,1.8845253751796004e-05
90,Bahnar,160000,0.0020794762760602487
91,Baiso,5480,7.122206245506352e-05
92,Bakairi,950,1.2346890389107725e-05
93,Balaesang,3200,4.1589525521204974e-05
94,Balantak,30000,0.00038990180176129663
95,Baldemu,4,5.1986906901506216e-08
96,Balinese,3300000,0.04288919819374263
97,Balinese Malay,25000,0.00032491816813441383
98,Balkan Gagauz,464000,0.006030481200574721
99,Balkan Romani,563670,0.007325864953293003
100,Balkar dialect,75000,0.0009747545044032416
101,Balochi,7600000,0.0987751231128618
102,Bana,23000,0.0002989247146836608
103,Bangime,3500,4.548854353881794e-05
104,Bangla,300000000,3.8990180176129665
105,Bangolan,14000,0.00018195417415527176
106,Banliku,65000,0.000844787237149476
107,Barakai,4450,5.783543392792567e-05
108,Barasana-Eduria,1900,2.469378077821545e-05
109,Bargu-Shineken Buriyad,65000,0.000844787237149476
110,Bashkardi,7030,9.136698887939718e-05
111,Bashkir,1200000,0.015596072070451866
112,Basketo,92600,0.001203496894769869
113,Basque,750000,0.009747545044032416
114,Bats,3420,4.4448805400787816e-05
115,Baudo,5000,6.498363362688277e-05
116,Bavarian,14100000,0.1832538468278094
117,Belarusian,5094928,0.06621738690146932
118,Bhili,3310000,0.0430191654609964
119,Bhojpuri,52200000,0.6784291350646561
120,Biao,80000,0.0010397381380301243
121,Bintauna,12000,0.00015596072070451865
122,Binukid,168234,0.002186491323916999
123,Bishnupriya Manipuri,117500,0.001527115390231745
124,Bislama,10000,0.00012996726725376554
125,Blagar,10000,0.00012996726725376554
126,Bolango,23000,0.0002989247146836608
127,Bolinao,51000,0.0006628330629942043
128,Bonan,10000,0.00012996726725376554
129,Bonda,9000,0.00011697054052838899
130,Bono,3000000,0.038990180176129666
131,Bora,2400,3.119214414090373e-05
132,Bororo,1400,1.8195417415527176e-05
133,Botlikh,210,2.7293126123290764e-06
134,Brazilian Sign Language,3000000,0.038990180176129666
135,Breton,206000,0.00267732570542757
136,British Sign Language,77000,0.0010007479578539947
137,Broome Pearling Lugger Pidgin,45,5.848527026419449e-07
138,Bu-Nao,390000,0.005068723422896856
139,Budukh,200,2.599345345075311e-06
140,Bugis,5517800,0.07171333872528275
141,Bulgarian,9000000,0.11697054052838898
142,Bulgarian Sign Language,37000,0.0004808788888389325
143,Bulu,860000,0.011177184983823836
144,Bunuba,110,1.429639939791421e-06
145,Bunun,38000,0.0004938756155643091
146,Burarra,1070,1.3906497596152915e-05
147,Burji,70100,0.0009110705434488965
148,Burmese,32900000,0.4275923092648886
149,Buryat,329000,0.004275923092648886
150,Bussa,19020,0.000247197742316662
151,Bwe Karen,17200,0.0002235436996764767
152,Cabiyari,270,3.5091162158516697e-06
153,Cahuilla,6,7.798036035225932e-08
154,Cajamarca Quechua,30000,0.00038990180176129663
155,Caló,60000,0.0007798036035225933
156,Cameroon Pidgin,2000000,0.025993453450753108
157,Camsá,4000,5.198690690150622e-05
158,Candoshi-Shapra,1120,1.455633393242174e-05
159,Cape Verdean Creole,871000,0.011320148977802978
160,Caquinte,500,6.498363362688277e-06
161,Carabayo,150,1.949509008806483e-06
162,Carapana,482,6.264422281631499e-06
163,Caribbean Javanese,60000,0.0007798036035225933
164,Carijona,10,1.2996726725376554e-07
165,Carrier,1270,1.6505842941228224e-05
166,Cashinahua,1200,1.5596072070451865e-05
167,Catalan,4873396,0.0633381960365432
168,Catio,15000,0.00019495090088064831
169,Cayuga,55,7.148199698957105e-07
170,Cebuano,15900000,0.20664795493348723
171,Central Atlas Tamazight,3000000,0.038990180176129666
172,Central Nahuatl,40000,0.0005198690690150622
173,Central Pashto,6520000,0.08473865824945513
174,Central Siberian Yupik,1800,2.3394108105677798e-05
175,Central Sierra Miwok,12,1.5596072070451864e-07
176,Cha'palaa,10000,0.00012996726725376554
177,Chachapoyas Quechua,7000,9.097708707763588e-05
178,Chadian Arabic,1100000,0.01429639939791421
179,Chakma,326000,0.004236932912472757
180,Chakobo,600,7.798036035225933e-06
181,Chamacoco,2000,2.599345345075311e-05
182,Chamalal,500,6.498363362688277e-06
183,Chamicuro,2,2.5993453450753108e-08
184,Chaná,1,1.2996726725376554e-08
185,Chayahuita,14000,0.00018195417415527176
186,Chechen,1393900,0.01811613738250238
187,Chepang,36807,0.0004783705205809348
188,Cherokee,12300,0.0001598597387221316
189,Chewa,12000000,0.15596072070451866
190,Cheyenne,2400,3.119214414090373e-05
191,Chhattisgarhi,16300000,0.21184664562363784
192,Chickasaw,75,9.747545044032416e-07
193,Chilcotin,860,1.1177184983823837e-05
194,Chimane,5300,6.888265164449574e-05
195,Chinali,220,2.859279879582842e-06
196,Chipaya,1800,2.3394108105677798e-05
197,Chipewyan,11325,0.0001471879301648895
198,Chiquitano,2400,3.119214414090373e-05
199,Chittagonian,13000000,0.1689574474298952
200,Chuj,43370,0.0005636680380795812
201,Chukchi,5100,6.628330629942043e-05
202,Chulym,44,5.718559759165684e-07
203,Chuukese,51330,0.0006671219828135786
204,Chuvash,1279650,0.016631261354128107
205,Ch’orti’,30000,0.00038990180176129663
206,Cimbrian,400,5.198690690150622e-06
207,Coatepec Nahuatl,1400,1.8195417415527176e-05
208,Cocama,250,3.2491816813441386e-06
209,Coeur d'Alene,4,5.1986906901506216e-08
210,Comanche,915,1.1892004953719547e-05
211,Comox,40,5.198690690150622e-07
212,Congo Swahili,9101000,0.11828320992765201
213,Cook Islands Maori,17500,0.00022744271769408971
214,Cornish,600,7.798036035225933e-06
215,Corsican,151000,0.0019625057355318596
216,Cree,10875,0.00014133940313847002
217,Crimean Tatar,552740,0.007183810730184636
218,Croatian Sign Language,13000,0.0001689574474298952
219,Cubeo,6300,8.187937836987229e-05
220,Cuiba,2900,3.769050750359201e-05
221,Culina,3900,5.068723422896856e-05
222,Cusco Quechua,1500000,0.019495090088064833
223,Cuyonon,120000,0.0015596072070451865
224,Cypriot Arabic,140,1.8195417415527176e-06
225,Czech,10700000,0.13906497596152914
226,Daasanach,60500,0.0007863019668852816
227,Dagbani,4160000,0.054066383177566464
228,Dahalik,2500,3.2491816813441386e-05
229,Daknī,12800000,0.16635810208481988
230,Dakota,20000,0.0002599345345075311
231,Danish,11142240,0.14481264838855967
232,Dari,9600000,0.12476857656361492
233,Darling,110,1.429639939791421e-06
234,Daur,96085,0.0012487904874078062
235,Dena'ina,75,9.747545044032416e-07
236,Dendi,10000,0.00012996726725376554
237,Deni,740,9.61757777677865e-06
238,Deyah,20000,0.0002599345345075311
239,Dhangu,310,4.028985284866732e-06
240,Dhundari,9600000,0.12476857656361492
241,Dhungaloo,0,0.0
242,Diodio,2200,2.859279879582842e-05
243,Dirasha,65000,0.000844787237149476
244,Dogri,2000000,0.025993453450753108
245,Dogrib,1735,2.254932086852832e-05
246,Dolgan,1054,1.369854996854689e-05
247,Domari,1340000,0.01741561381200458
248,Dombe,5430,7.05722261187947e-05
249,Dongxiang,200000,0.0025993453450753106
250,Doteli,790000,0.010267414113047478
251,Dowayo,18000,0.00023394108105677798
252,Drehu,15949,0.00020728479454303067
253,Duguri,65000,0.000844787237149476
254,Dungan,41400,0.0005380644864305893
255,Dusun Malang,4500,5.8485270264194494e-05
256,Dutch,23100000,0.3002243873561984
257,Duupa,5000,6.498363362688277e-05
258,Dyirbal,8,1.0397381380301243e-07
259,Dzongkha,237080,0.003081263972052273
260,East Frisian Low Saxon,200000,0.0025993453450753106
261,Eastern Bontok,6170,8.018980389557335e-05
262,Eastern Gorkha Tamang,3980,5.1726972366998686e-05
263,Eastern Keres,6680,8.681813452551538e-05
264,Eastern Min,10300000,0.1338662852713785
265,Eastern Ngad'a,5000,6.498363362688277e-05
266,Eastern Tamang,1180000,0.015336137535944334
267,Eastern Yugur,4000,5.198690690150622e-05
268,Edo,1600000,0.020794762760602485
269,Efik,2693000,0.03500018507143906
270,Egyptian Arabic,100542400,1.3067220971134996
271,Ekoi,116700,0.001516718008851444
272,Elfdalian,2000,2.599345345075311e-05
273,Embu,320000,0.004158952552120497
274,Emerillon,400,5.198690690150622e-06
275,Emilian,1300000,0.01689574474298952
276,Enawene Nawe,570,7.408134233464636e-06
277,Ende,110000,0.001429639939791421
278,Enga,230000,0.0029892471468366075
279,English,1132366680,14.71706029288192
280,Eperara,3802,4.9413555009881663e-05
281,Erzya,96860,0.001258862950619973
282,Esan,300000,0.0038990180176129664
283,Ese,10000,0.00012996726725376554
284,Ese Ejja,700,9.097708707763588e-06
285,Eskayan,550,7.148199698957105e-06
286,Esperanto,60000,0.0007798036035225933
287,Estonian,1251770,0.01626891261302461
288,Estonian Sign Language,1500,1.949509008806483e-05
289,Ethiopian Sign Language,250000,0.0032491816813441385
290,Eton,250000,0.0032491816813441385
291,Even,5660,7.35614732656313e-05
292,Evenki,15800,0.00020534828226094958
293,Extremaduran,201500,0.0026188404351633757
294,Fala,11000,0.0001429639939791421
295,Faroese,69150,0.0008987236530597887
296,Fiji Hindi,380000,0.00493875615564309
297,Fijian,661270,0.008594345481689754
298,Finnish,5413380,0.07035622052061893
299,Finnish Kalo,10000,0.00012996726725376554
300,Finnish Sign Language,15000,0.00019495090088064831
301,Fon,1935500,0.02515516457696632
302,Forest Enets,10,1.2996726725376554e-07
303,Franco-Provençal,227000,0.002950256966660478
304,French,77200000,1.0033473031990698
305,French Sign Language,283000,0.0036780736632815647
306,Friulian,300000,0.0038990180176129664
307,Fula,24000000,0.3119214414090373
308,Ga,745000,0.009682561410405532
309,Gadal,26900,0.0003496119489126293
310,Gagauz,148720,0.001932873198598001
311,Gallong,80597,0.0010474971838851741
312,Gallurese,100000,0.0012996726725376553
313,Gan Chinese,22100000,0.28722766063082183
314,Gapapaiwa,3000,3.899018017612966e-05
315,Garhwali,3000000,0.038990180176129666
316,Gawwada,69000,0.0008967741440509822
317,Gazi,7030,9.136698887939718e-05
318,Geba Karen,40000,0.0005198690690150622
319,Gedeo,980000,0.012736792190869024
320,Georgian,3700000,0.048087888883893246
321,German,134993040,1.7544676507078263
322,Ghadamès,13100,0.00017025712010243285
323,Ghanaian Pidgin English,5000000,0.06498363362688277
324,Ghotuo,9000,0.00011697054052838899
325,Gilaki,2550000,0.033141653149710217
326,Gilbertese,116280,0.0015112593836267858
327,Gitxsan,930,1.2086955854600194e-05
328,Goan Konkani,3633900,0.04722880524734586
329,Godoberi,130,1.689574474298952e-06
330,Gondi,2984453,0.03878812006573023
331,Gorontalo,1000000,0.012996726725376554
332,Greek,13100000,0.17025712010243285
333,Greenlandic,56200,0.0007304160419661623
334,Gros Ventre,10,1.2996726725376554e-07
335,Guarani,4850000,0.0630341246180763
336,Guató,4,5.1986906901506216e-08
337,Guayabero,1000,1.2996726725376554e-05
338,Guelavía Zapotec,28000,0.0003639083483105435
339,Guernésiais,200,2.599345345075311e-06
340,Guerrero Nahuatl,150000,0.0019495090088064832
341,Gujarati,56400000,0.7330153873112376
342,Gumatj,116,1.5076203001436804e-06
343,Gumuz,219000,0.002846283152857465
344,Gun,1539000,0.020001962430354518
345,Guniyandi,100,1.2996726725376554e-06
346,Gunwinggu,1702,2.2120428886590896e-05
347,Guragone,60,7.798036035225933e-07
348,Gurene,720000,0.009357643242271119
349,Guugu Yalandji,388,5.042729969446103e-06
350,Guugu Yimithirr,780,1.0137446845793712e-05
351,Ha,990000,0.012866759458122788
352,Haida,90,1.1697054052838899e-06
353,Haitian Creole,9600000,0.12476857656361492
354,Hakka Chinese,48200000,0.6264422281631499
355,Haryanvi,14000000,0.18195417415527174
356,Hausa,43900000,0.5705563032440307
357,Hawaiian,26205,0.0003405792238384926
358,Hawaiian Pidgin,700000,0.009097708707763589
359,Hawu,110000,0.001429639939791421
360,Hazaragi,2221000,0.028865730057061327
361,Hebrew,3950000,0.05133707056523738
362,Heiltsuk-Oowekyala,90,1.1697054052838899e-06
363,Higaonon,30000,0.00038990180176129663
364,Hijazi Arabic,14500000,0.18845253751796004
365,Hiligaynon,8200000,0.10657315914808774
366,Hill Mari,30000,0.00038990180176129663
367,Hindko,5065879,0.06583984498682385
368,Hinuq,5,6.498363362688277e-08
369,Hiri Motu,180000,0.0023394108105677797
370,Hixkaryana,600,7.798036035225933e-06
371,Hmong,8400000,0.10917250449316304
372,Hodï,900,1.1697054052838899e-05
373,Hopi,6780,8.811780719805304e-05
374,Huallaga Quechua,40000,0.0005198690690150622
375,Huambisa,8000,0.00010397381380301243
376,Huarijio,2136,2.776100828540432e-05
377,Huehuetla Tepehua,1500,1.949509008806483e-05
378,Hula,3240,4.2109394590220036e-05
379,Hungarian,12600000,0.16375875673974458
380,Hunjara-Kaina Ke,8770,0.00011398129338155239
381,Hup,1700,2.2094435433140142e-05
382,Hutterite German,40000,0.0005198690690150622
383,Hän,41,5.328657957404387e-07
384,Ibaloi,110000,0.001429639939791421
385,Ibanag,400000,0.005198690690150621
386,Ibu,35,4.548854353881794e-07
387,Icelandic,321040,0.004172469147914889
388,Igbo,27000000,0.350911621585167
389,Ikoma,36000,0.00046788216211355595
390,Ikpeng,500,6.498363362688277e-06
391,Ili Turki,120,1.5596072070451865e-06
392,Ilocano,9100000,0.11827021320092665
393,Indonesian,198996550,2.5863037796427317
394,Inga,33000,0.00042889198193742626
395,Ingrian,120,1.5596072070451865e-06
396,Ingush,322900,0.004196643059624089
397,Innu-aimun,11000,0.0001429639939791421
398,Inuktitut,39770,0.0005168798218682256
399,Iranian Persian,52800000,0.6862271710998821
400,Irantxe,125,1.6245908406720693e-06
401,Irish,141000,0.0018325384682780941
402,Isconahua,82,1.0657315914808775e-06
403,Isthmus Zapotec,85000,0.001104721771657007
404,Italian,64800000,0.8421878918044008
405,Itelmen,82,1.0657315914808775e-06
406,Itsekiri,940000,0.01221692312185396
407,Iñapari,4,5.1986906901506216e-08
408,Jagoi,29000,0.00037690507503592005
409,Jakaltek,33000,0.00042889198193742626
410,Jamaican Patois,3200000,0.04158952552120497
411,Jamamadí,1080,1.4036464863406679e-05
412,Japanese,128000000,1.663581020848199
413,Japreria,91,1.1827021320092664e-06
414,Javanese,68300000,0.8876764353432187
415,Jebero,30,3.8990180176129663e-07
416,Jeju,5000,6.498363362688277e-05
417,Jingpho,940000,0.01221692312185396
418,Jinnish,46900000,0.6095464834201604
419,Jola-Fonyi,410000,0.005328657957404387
420,Juang,30875,0.0004012739376460011
421,Juba Arabic,800000,0.010397381380301243
422,Judeo-Tat,106000,0.0013776530328899147
423,Judeo-Yemeni Arabic,50300,0.0006537353542864407
424,Jumla Sign Language,8,1.0397381380301243e-07
425,Jurúna,280,3.639083483105435e-06
426,Kabardian,1600000,0.020794762760602485
427,Kabiye,1000000,0.012996726725376554
428,Kabyle,5586000,0.07259971548795344
429,Kadazandusun,180000,0.0023394108105677797
430,Kagate,1500,1.949509008806483e-05
431,Kagayanen,30000,0.00038990180176129663
432,Kairiru,3200,4.1589525521204974e-05
433,Kakwa,250,3.2491816813441386e-06
434,Kalaktang Monpa,8000,0.00010397381380301243
435,Kalasha,5000,6.498363362688277e-05
436,Kalau Lagau Ya,957,1.2437867476185363e-05
437,Kalkoti,6000,7.798036035225933e-05
438,Kamayo,363000,0.0047178118013116895
439,Kamayurá,600,7.798036035225933e-06
440,Kamba,3893000,0.05059625714189093
441,Kambaata,890000,0.011567086785585134
442,Kambera,240000,0.003119214414090373
443,Kamberau,1570,2.040486095884119e-05
444,Kamoro,8000,0.00010397381380301243
445,Kanakanavu,4,5.1986906901506216e-08
446,Kanamarí,1650,2.1444599096871315e-05
447,Kanashi,1400,1.8195417415527176e-05
448,Kangjia,1000,1.2996726725376554e-05
449,Kannada,43600000,0.5666572852264178
450,Karachay-Balkar,310400,0.004034183975556883
451,Karaim,80,1.0397381380301243e-06
452,Karakalpak,583410,0.007582420338851935
453,Karanga,10000,0.00012996726725376554
454,Karaw,2000,2.599345345075311e-05
455,Karelian,35600,0.0004626834714234054
456,Karipúna Creole French,1726,2.243235032799993e-05
457,Karo Batak,600000,0.007798036035225933
458,Karuk,12,1.5596072070451864e-07
459,Kashibo,1200,1.5596072070451865e-05
460,Kashmiri,6900000,0.08967741440509822
461,Kashubian,108000,0.001403646486340668
462,Katawixi,10,1.2996726725376554e-07
463,Kaulong,4000,5.198690690150622e-05
464,Kavalan,70,9.097708707763588e-07
465,Kaxararí,270,3.5091162158516697e-06
466,Kazakh,12900000,0.16765777475735755
467,Ke'o,40000,0.0005198690690150622
468,Kelantan-Pattani Malay,1470000,0.019105188286303535
469,Kepo',6000,7.798036035225933e-05
470,Kerewe,100000,0.0012996726725376553
471,Khalaj,53900,0.0007005235704977962
472,Khaling,15000,0.00019495090088064831
473,Khalkha Mongolian,2704030,0.035143538967219966
474,Khamti,13000,0.0001689574474298952
475,Khanty,9230,0.00011995978767522559
476,Khasi,843000,0.010956240629492435
477,Khinalug,1000,1.2996726725376554e-05
478,Khmer,16600000,0.2157456636412508
479,Khmu,480000,0.006238428828180746
480,Kholok,2500,3.2491816813441386e-05
481,Khorasani Turkic,886000,0.011515099878683627
482,Khowar,290000,0.003769050750359201
483,Khwarshi,1740,2.2614304502155204e-05
484,Kibet,18500,0.00024043944441946624
485,Kiduruma,397000,0.005159700509974492
486,Kiga,2390000,0.031062176873649965
487,Kija,169,2.1964468165886378e-06
488,Kikai,13100,0.00017025712010243285
489,Kinyarwanda,12100000,0.15726039337705633
490,Kiowa,20,2.599345345075311e-07
491,Kirundi,10800000,0.14036464863406678
492,Klallam,0,0.0
493,Koasati,370,4.808788888389325e-06
494,Kodava,200000,0.0025993453450753106
495,Komi,219100,0.002847582825530003
496,Komi-Zyryan,156000,0.0020274893691587426
497,Konjo,609000,0.007915006575754321
498,Konkani,7400000,0.09617577776778649
499,Konongo,51000,0.0006628330629942043
500,Konso,240000,0.003119214414090373
501,Koore,159200,0.0020690788946799476
502,Korean,77300000,1.0046469758716077
503,Korean Sign Language,180000,0.0023394108105677797
504,Koreguaje,2100,2.7293126123290767e-05
505,Korlai Portuguese Creole,800,1.0397381380301243e-05
506,Koro,1500,1.949509008806483e-05
507,Koroshi,1000,1.2996726725376554e-05
508,Korubo,27,3.5091162158516696e-07
509,Koyukon,300,3.899018017612966e-06
510,Krio,692000,0.008993734893960575
511,Kristang,2200,2.859279879582842e-05
512,Krobu,9920,0.00012892752911573542
513,Kuhmareyi,100000,0.0012996726725376553
514,Kukuya,38800,0.0005042729969446104
515,Kulino,32,4.1589525521204973e-07
516,Kumaoni,2300000,0.029892471468366072
517,Kumbainggar,90,1.1697054052838899e-06
518,Kumyk,426212,0.005539360891076192
519,Kundal Shahi,3371,4.381196579124436e-05
520,Kunigami,5000,6.498363362688277e-05
521,Kurdish,21000000,0.2729312612329077
522,Kurmanji,14600000,0.18975221019049768
523,Kurtöp,15000,0.00019495090088064831
524,Kusunda,7,9.097708707763587e-08
525,Kutenai,100,1.2996726725376554e-06
526,Kuy,488900,0.0063540996960365975
527,Kven,2000,2.599345345075311e-05
528,Kwakʼwala,500,6.498363362688277e-06
529,Kwama,319,4.1459558253951205e-06
530,Kwanyama,247000,0.003210191501168009
531,Kwaza,54,7.018232431703339e-07
532,Kwinti,130,1.689574474298952e-06
533,Kyrgyz,4568480,0.05937528611034828
534,Laal,749,9.734548317307039e-06
535,Ladakhi,14952,0.00019432705799783025
536,Lak,154820,0.0020121532316227982
537,Lakkja,9000,0.00011697054052838899
538,Lakota,2000,2.599345345075311e-05
539,Lala-Bisa,580000,0.007538101500718402
540,Lamaholot,180000,0.0023394108105677797
541,Lamas Quechua,15000,0.00019495090088064831
542,Lambadi,6000000,0.07798036035225933
543,Lambayeque Quechua,20000,0.0002599345345075311
544,Lamboya,25000,0.00032491816813441383
545,Lango,2100000,0.02729312612329076
546,Lani,180000,0.0023394108105677797
547,Lao,5225552,0.0679150713332449
548,Larantuka Malay,20000,0.0002599345345075311
549,Lashi,30000,0.00038990180176129663
550,Latgalian,200000,0.0025993453450753106
551,Latundê,10,1.2996726725376554e-07
552,Lepcha,66500,0.0008642823272375408
553,Levantine Arabic,44000000,0.5718559759165684
554,Lezgian,633610,0.008234856020465838
555,Libido,64000,0.0008317905104240995
556,Liki,11,1.429639939791421e-07
557,Limbu,40835,0.0005307213358307515
558,Lindu,2400,3.119214414090373e-05
559,Lio,105000,0.0013646563061645383
560,Lisela,11900,0.000154661048031981
561,Livvi-Karelian,30770,0.0003999092813398366
562,Lobi,440000,0.005718559759165684
563,Logooli,618300,0.008035876134300323
